,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,CAP HIT,exchange cap
0,Joe Thornton,C,81,29,96,125,13.3,18,11,0,6,54,40,2,195,14.9,1728,21:20,6666666,13150639.0
1,Jaromír Jágr,RW,82,54,69,123,15.5,30,24,0,9,41,28,0,368,14.7,1810,22:05,7920000,15801923.0
2,Alex Ovechkin,LW,81,52,54,106,12.7,28,21,3,5,23,31,0,425,12.2,1751,21:37,984200,1130038.0
3,Dany Heatley,LW,82,50,53,103,12.9,25,23,2,7,31,20,2,300,16.7,1734,21:09,4500000,8567307.0
4,Sidney Crosby,C,81,39,63,102,10.5,23,16,0,5,30,31,2,278,14.0,1630,20:08,850000,846153.0
5,Eric Staal,C,82,45,55,100,11.1,22,19,4,4,34,21,0,279,16.1,1611,19:39,942400,1041615.0
6,Ilya Kovalchuk,LW,78,52,46,98,11.2,25,27,0,7,16,29,1,323,16.1,1731,22:11,6400000,12586538.0
7,Marc Savard,C,82,28,69,97,9.3,13,14,1,4,31,36,2,212,13.2,1682,20:30,1140000,1459615.0
8,Jonathan Cheechoo,RW,82,56,37,93,12.7,30,24,2,11,20,17,0,317,17.7,1637,19:57,0,-951923.0
9,Brad Richards,C,82,23,68,91,8.0,12,7,4,0,28,39,1,282,8.2,1866,22:45,1933667,3138526.0
10,Jason Spezza,C,68,19,71,90,9.2,12,7,0,5,37,34,0,156,12.2,1292,19:00,1100000,1375000.0
11,Brian Gionta,RW,82,48,41,89,11.4,23,24,1,10,31,10,0,291,16.5,1625,19:49,627000,374423.0
12,Olli Jokinen,C,82,38,51,89,9.8,23,14,1,9,28,23,0,351,10.8,1680,20:29,2500000,4336538.0
13,Pavel Datsyuk,C,75,28,59,87,9.8,17,11,0,4,31,28,0,145,19.3,1342,17:53,3900000,7298076.0
14,Patrick Marleau,C,82,34,52,86,8.5,13,20,1,4,28,24,0,260,13.1,1634,19:56,4166667,7862180.0
15,Andy McDonald,C,82,34,51,85,10.2,21,13,0,7,25,25,1,229,14.8,1378,16:48,0,-951923.0
16,Henrik Zetterberg,LW,77,39,46,85,10.6,21,17,1,9,28,18,0,270,14.4,1460,18:57,2650000,4653846.0
17,Scott Gomez,C,82,33,51,84,9.2,24,9,0,5,27,24,0,244,13.5,1540,18:47,2204000,3710384.0
18,Michael Nylander,C,81,23,56,79,8.4,17,6,0,4,45,11,0,172,13.4,1566,19:20,2026667,3335257.0
19,Brian Rolston,C,82,34,45,79,9.4,14,15,5,7,28,17,0,293,11.6,1669,20:21,0,-951923.0
20,Alex Tanguay,LW,71,29,49,78,8.3,21,8,0,4,28,21,0,125,23.2,1304,18:22,3230000,5880769.0
21,Justin Williams,RW,82,31,45,76,7.4,19,8,4,4,26,17,2,255,12.2,1733,21:08,1225000,1639423.0
22,Vincent Lecavalier,C,80,35,40,75,8.1,20,13,2,7,20,19,1,309,11.3,1610,20:08,6875000,13591346.0
23,Patrice Bergeron,C,81,31,42,73,7.5,18,12,1,6,24,17,1,310,10.0,1668,20:36,515333,138204.0
24,Shawn Horcoff,LW,79,22,51,73,6.7,16,3,3,5,27,21,3,167,13.2,1578,19:59,1000000,1163461.0
25,Todd Bertuzzi,RW,82,25,46,71,6.0,13,12,0,3,26,20,0,200,12.5,1568,19:08,5269080,10194207.0
26,Rod Brind'Amour,C,78,31,39,70,6.8,10,19,2,5,20,16,3,198,15.7,1895,24:18,3560000,6578846.0
27,Bryan McCabe,D,73,19,49,68,10.5,6,13,0,6,13,32,4,207,9.2,2066,28:18,0,-951923.0
28,Steve Sullivan,RW,69,31,37,68,7.4,14,13,4,5,16,21,0,192,16.1,1317,19:06,3200000,5817307.0
29,Chris Drury,C,81,30,37,67,6.6,12,16,2,5,16,21,0,172,17.4,1466,18:06,2382500,4087980.0
30,Craig Conroy,C,78,22,44,66,6.2,14,5,3,3,25,16,3,154,14.3,1499,19:13,1795500,2846250.0
31,Shane Doan,RW,82,30,36,66,6.3,13,17,0,7,11,24,1,254,11.8,1568,19:08,2128000,3549615.0
32,Marián Gáborík,RW,65,38,28,66,8.9,26,10,2,7,15,12,1,252,15.1,1198,18:26,1859667,2981987.0
33,Ryan Smyth,LW,75,36,30,66,7.3,15,19,2,3,16,12,2,230,15.7,1516,20:13,3500000,6451923.0
34,Alexei Yashin,C,82,28,38,66,6.0,18,10,0,2,16,22,0,253,11.1,1517,18:30,7415100,14733865.0
35,Brenden Morrow,LW,81,23,42,65,7.1,14,8,1,4,31,9,2,146,15.8,1560,19:15,2050000,3384615.0
36,Mike Comrie,C,80,30,30,60,6.6,20,10,0,4,15,15,0,190,15.8,1282,16:01,0,-951923.0
37,Pierre-Marc Bouchard,C,80,17,42,59,5.9,10,7,0,3,18,24,0,118,14.4,1220,15:15,0,-951923.0
38,Erik Cole,RW,60,30,29,59,7.4,24,3,3,8,17,11,1,164,18.3,1158,19:18,1140000,1459615.0
39,Mathieu Schneider,D,72,21,38,59,11.9,10,11,0,4,20,18,0,188,11.2,1765,24:31,0,-951923.0
