Rk,Player,Age,Tm,Pos,GP,G,A,PTS▼,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Joe Thornton,26,TOT,C,81,29,96,125,31,61,13.3,18,11,0,6,54,40,2,195,14.9,1728,21:20,thornjo01
2,Jaromír Jágr,33,NYR,RW,82,54,69,123,34,72,15.5,30,24,0,9,41,28,0,368,14.7,1810,22:05,jagrja01
3,Alex Ovechkin,20,WSH,LW,81,52,54,106,2,52,12.7,28,21,3,5,23,31,0,425,12.2,1751,21:37,ovechal01
4,Daniel Alfredsson*,33,OTT,RW,77,43,60,103,29,50,12.3,22,16,5,8,27,32,1,249,17.3,1670,21:41,alfreda01
5,Dany Heatley,25,OTT,LW,82,50,53,103,29,86,12.9,25,23,2,7,31,20,2,300,16.7,1734,21:09,heatlda01
6,Sidney Crosby,18,PIT,C,81,39,63,102,-1,110,10.5,23,16,0,5,30,31,2,278,14.0,1630,20:08,crosbsi01
7,Eric Staal,21,CAR,C,82,45,55,100,-8,81,11.1,22,19,4,4,34,21,0,279,16.1,1611,19:39,staaler01
8,Ilya Kovalchuk,22,ATL,LW,78,52,46,98,-6,68,11.2,25,27,0,7,16,29,1,323,16.1,1731,22:11,kovalil01
9,Marc Savard,28,ATL,C,82,28,69,97,7,100,9.3,13,14,1,4,31,36,2,212,13.2,1682,20:30,savarma01
10,Jonathan Cheechoo,25,SJS,RW,82,56,37,93,23,58,12.7,30,24,2,11,20,17,0,317,17.7,1637,19:57,cheecjo01
11,Marián Hossa*,27,ATL,RW,80,39,53,92,17,67,10.2,18,14,7,7,27,25,1,341,11.4,1735,21:41,hossama01
12,Brad Richards,25,TBL,C,82,23,68,91,0,32,8.0,12,7,4,0,28,39,1,282,8.2,1866,22:45,richabr01
13,Teemu Selänne*,35,MDA,RW,80,40,50,90,28,44,11.4,22,18,0,5,28,22,0,267,15.0,1424,17:48,selante01
14,Jason Spezza,22,OTT,C,68,19,71,90,23,33,9.2,12,7,0,5,37,34,0,156,12.2,1292,19:00,spezzja01
15,Brian Gionta,27,NJD,RW,82,48,41,89,18,46,11.4,23,24,1,10,31,10,0,291,16.5,1625,19:49,giontbr01
16,Olli Jokinen,27,FLA,C,82,38,51,89,14,88,9.8,23,14,1,9,28,23,0,351,10.8,1680,20:29,jokinol01
17,Pavel Datsyuk,27,DET,C,75,28,59,87,26,22,9.8,17,11,0,4,31,28,0,145,19.3,1342,17:53,datsypa01
18,Joe Sakic*,36,COL,C,82,32,55,87,10,60,8.9,22,10,0,6,31,24,0,263,12.2,1633,19:55,sakicjo01
19,Patrick Marleau,26,SJS,C,82,34,52,86,-12,26,8.5,13,20,1,4,28,24,0,260,13.1,1634,19:56,marlepa01
20,Paul Kariya*,31,NSH,LW,82,31,54,85,-6,40,8.4,17,14,0,3,22,32,0,245,12.7,1565,19:05,kariypa01
21,Andy McDonald,28,MDA,C,82,34,51,85,24,32,10.2,21,13,0,7,25,25,1,229,14.8,1378,16:48,mcdonan01
22,Henrik Zetterberg,25,DET,LW,77,39,46,85,29,30,10.6,21,17,1,9,28,18,0,270,14.4,1460,18:57,zettehe01
23,Scott Gomez,26,NJD,C,82,33,51,84,8,42,9.2,24,9,0,5,27,24,0,244,13.5,1540,18:47,gomezsc01
24,Brendan Shanahan*,37,DET,LW,82,40,41,81,29,105,10.5,26,14,0,6,27,14,0,289,13.8,1360,16:35,shanabr01
25,Nicklas Lidström*,35,DET,D,80,16,64,80,21,50,12.9,7,9,0,2,23,41,0,243,6.6,2199,27:29,lidstni01
26,Vinny Prospal,30,TBL,LW,81,25,55,80,-3,50,7.5,15,10,0,3,38,17,0,236,10.6,1553,19:10,prospva01
27,Simon Gagné,25,PHI,LW,72,47,32,79,31,38,10.8,33,12,2,7,18,11,3,334,14.1,1495,20:46,gagnesi01
28,Markus Näslund,32,VAN,LW,81,32,47,79,-19,66,7.5,19,13,0,2,18,29,0,264,12.1,1496,18:28,nasluma02
29,Michael Nylander,33,NYR,C,81,23,56,79,31,76,8.4,17,6,0,4,45,11,0,172,13.4,1566,19:20,nylanmi01
30,Brian Rolston,32,MIN,C,82,34,45,79,14,50,9.4,14,15,5,7,28,17,0,293,11.6,1669,20:21,rolstbr01
31,Mats Sundin*,34,TOR,C,70,31,47,78,7,58,8.4,13,16,2,2,19,26,2,220,14.1,1399,19:59,sundima01
32,Alex Tanguay,26,COL,LW,71,29,49,78,8,46,8.3,21,8,0,4,28,21,0,125,23.2,1304,18:22,tangual01
33,Aleš Hemský,22,EDM,RW,81,19,58,77,-5,64,6.9,11,7,1,4,23,35,0,178,10.7,1375,16:59,hemskal01
34,Mike Modano*,35,DAL,C,78,27,50,77,23,58,8.4,14,12,1,4,27,22,1,207,13.0,1526,19:34,modanmi01
35,Jason Arnott,31,DAL,C,81,32,44,76,13,102,8.6,20,11,1,5,26,18,0,167,19.2,1393,17:12,arnotja01
36,Cory Stillman,32,CAR,LW,72,21,55,76,-9,32,6.8,11,10,0,3,31,24,0,177,11.9,1344,18:40,stillco01
37,Martin Straka,33,NYR,LW,82,22,54,76,17,42,7.5,18,4,0,4,25,29,0,171,12.9,1571,19:09,strakma01
