Rk,Player,Age,Tm,Pos,GP,G,A,P,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Sidney Crosby,19,PIT,C,79,36,84,120,10,60,13.3,23,13,0,4,36,48,0,250,14.4,1640,20:46,crosbsi01
2,Joe Thornton,27,SJS,C,82,22,92,114,24,44,12.2,12,10,0,5,48,44,0,213,10.3,1666,20:19,thornjo01
3,Vincent Lecavalier,26,TBL,C,82,52,56,108,2,44,13.4,31,16,5,7,32,20,4,339,15.3,1854,22:36,lecavvi01
4,Dany Heatley,26,OTT,RW,82,50,55,105,31,74,13.4,30,17,3,10,32,22,1,310,16.1,1725,21:02,heatlda01
5,Martin St. Louis*,31,TBL,RW,82,43,59,102,7,28,11.8,24,14,5,7,37,16,6,273,15.8,1981,24:09,stlouma01
6,Marián Hossa*,28,ATL,RW,82,43,57,100,18,49,12.4,23,17,3,5,29,27,1,340,12.6,1778,21:41,hossama01
7,Joe Sakic*,37,COL,C,82,36,64,100,2,46,10.8,20,16,0,4,37,27,0,258,14.0,1655,20:11,sakicjo01
8,Jaromír Jágr,34,NYR,RW,82,30,66,96,26,78,11.0,23,7,0,5,32,34,0,324,9.3,1784,21:46,jagrja01
9,Marc Savard,29,BOS,C,82,22,74,96,-19,96,8.7,11,10,1,3,35,39,0,221,10.0,1658,20:13,savarma01
10,Daniel Brière,29,BUF,C,81,32,63,95,17,89,10.0,23,9,0,6,42,21,0,234,13.7,1564,19:19,brierda01
11,Jarome Iginla*,29,CGY,RW,70,39,55,94,12,40,11.1,25,13,1,7,35,20,0,264,14.8,1544,22:04,iginlja01
12,Teemu Selänne*,36,ANA,RW,82,48,46,94,26,82,13.0,23,25,0,10,23,23,0,257,18.7,1451,17:42,selante01
13,Alex Ovechkin,21,WSH,LW,82,46,46,92,-19,52,10.5,30,16,0,8,25,21,0,392,11.7,1754,21:23,ovechal01
