Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Evgeni Malkin,22,PIT,C,82,35,78,113,17,80,12.6,19,14,2,4,51,27,0,290,12.1,1846,22:31,39,80,283,385,42.4,malkiev01
2,Alex Ovechkin,23,WSH,LW,79,56,54,110,8,72,14.5,36,19,1,10,27,27,0,528,10.6,1817,23:00,32,243,8,24,25.0,ovechal01
3,Sidney Crosby,21,PIT,C,77,33,70,103,3,76,11.1,26,7,0,3,36,33,1,238,13.9,1690,21:57,42,80,829,786,51.3,crosbsi01
4,Pavel Datsyuk,30,DET,C,81,32,65,97,34,22,11.5,20,11,1,3,39,25,1,248,12.9,1556,19:13,33,75,621,489,55.9,datsypa01
5,Zach Parise,24,NJD,LW,82,45,49,94,30,24,12.8,31,14,0,8,30,16,3,364,12.4,1538,18:45,17,65,54,66,45.0,parisza01
6,Ryan Getzlaf,23,ANA,C,81,25,66,91,5,121,9.2,16,9,0,2,38,28,0,227,11.0,1631,20:08,43,134,566,562,50.2,getzlry01
7,Ilya Kovalchuk,25,ATL,LW,79,43,48,91,-12,50,10.3,31,12,0,6,23,24,1,275,15.6,1723,21:48,15,43,5,9,35.7,kovalil01
8,Jarome Iginla*,31,CGY,RW,82,35,54,89,-2,37,9.5,25,10,0,4,32,22,0,289,12.1,1772,21:37,15,80,262,235,52.7,iginlja01
9,Nicklas Bäckström,21,WSH,C,82,22,66,88,16,46,9.2,8,14,0,1,38,28,0,174,12.6,1635,19:57,46,52,570,601,48.7,backsni02
10,Marc Savard,31,BOS,C,82,25,63,88,25,70,9.8,16,9,0,5,40,21,2,213,11.7,1602,19:32,19,24,635,641,49.8,savarma01
11,Joe Thornton,29,SJS,C,82,25,61,86,16,56,9.5,14,11,0,3,37,24,0,139,18.0,1596,19:28,24,81,718,577,55.4,thornjo01
12,Jeff Carter,24,PHI,C,82,46,38,84,23,68,11.7,29,13,4,12,27,11,0,342,13.5,1718,20:57,53,54,833,892,48.3,carteje01
13,Mike Cammalleri,26,CGY,LW,81,39,43,82,-2,44,9.8,20,19,0,6,28,15,0,255,15.3,1422,17:33,18,21,217,143,60.3,cammami01
14,Daniel Sedin*,28,VAN,LW,82,31,51,82,24,36,9.9,22,9,0,7,36,15,0,285,10.9,1541,18:48,15,13,14,19,42.4,sedinda01
15,Henrik Sedin*,28,VAN,C,82,22,60,82,22,48,8.7,18,4,0,8,38,22,0,143,15.4,1601,19:31,16,17,664,682,49.3,sedinhe01
16,Mike Richards,23,PHI,C,79,30,50,80,22,63,9.4,15,8,7,4,23,25,2,238,12.6,1717,21:44,90,147,813,847,49.0,richami02
17,Martin St. Louis*,33,TBL,RW,82,30,50,80,4,14,8.4,21,7,2,3,31,18,1,262,11.5,1745,21:17,48,17,14,16,46.7,stlouma01
18,Rick Nash,24,CBJ,LW,78,40,39,79,11,52,10.1,29,6,5,5,25,13,1,263,15.2,1650,21:10,29,71,5,13,27.8,nashri01
19,Alexander Semin,24,WSH,RW,62,34,45,79,25,77,10.7,26,8,0,8,21,22,2,223,15.2,1193,19:14,10,22,12,12,50.0,seminal01
20,Patrik Eliáš,32,NJD,LW,77,31,47,78,18,32,9.4,17,12,2,6,25,19,3,247,12.6,1430,18:34,17,51,26,61,29.9,eliaspa01
21,Mike Ribeiro,28,DAL,C,82,22,56,78,-4,52,7.1,15,7,0,1,40,16,0,163,13.5,1718,20:57,28,117,563,677,45.4,ribeimi01
22,Martin Havlát,27,CHI,RW,81,29,48,77,29,30,9.5,24,5,0,5,39,9,0,249,11.6,1410,17:25,12,19,2,6,25.0,havlama01
23,Ray Whitney,36,CAR,LW,82,24,53,77,2,32,8.2,17,7,0,2,30,23,0,219,11.0,1510,18:25,26,27,2,2,50.0,whitnra01
24,Vyacheslav Kozlov,36,ATL,LW,82,26,50,76,-14,44,7.4,14,12,0,3,19,31,0,165,15.8,1413,17:14,17,37,3,5,37.5,kozlovy01
25,Eric Staal,24,CAR,C,82,40,35,75,15,50,9.8,25,14,1,8,24,10,1,372,10.8,1726,21:03,37,61,718,868,45.3,staaler01
26,Daniel Alfredsson*,36,OTT,RW,79,24,50,74,7,24,8.1,15,8,1,3,27,20,3,204,11.8,1649,20:53,33,57,4,13,23.5,alfreda01
27,Simon Gagné,28,PHI,LW,79,34,40,74,21,42,9.6,18,12,4,3,23,13,4,221,15.4,1503,19:01,28,27,3,7,30.0,gagnesi01
28,Shane Doan,32,PHX,RW,82,31,42,73,5,72,8.3,21,10,0,4,25,15,2,230,13.5,1660,20:15,32,188,159,201,44.2,doansh01
29,Mike Green,23,WSH,D,68,31,42,73,24,68,13.9,12,18,1,4,22,20,0,243,12.8,1752,25:46,110,86,0,0,,greenmi03
30,David Krejčí,22,BOS,C,82,22,51,73,37,26,8.8,15,5,2,6,35,14,2,146,15.1,1382,16:52,46,74,526,517,50.4,krejcda01
31,Jason Spezza,25,OTT,C,82,32,41,73,-14,79,8.1,18,13,1,3,23,18,0,246,13.0,1615,19:41,22,26,787,690,53.3,spezzja01
32,Todd White,33,ATL,C,82,22,51,73,-9,24,6.7,9,12,1,0,29,22,0,150,14.7,1481,18:04,33,39,673,656,50.6,whiteto02
33,Henrik Zetterberg,28,DET,C,77,31,42,73,13,36,8.1,17,12,2,5,24,18,0,309,10.0,1531,19:53,31,54,624,546,53.3,zettehe01
34,Brad Boyes,26,STL,RW,82,33,39,72,-20,26,7.9,17,16,0,11,20,19,0,220,15.0,1570,19:08,20,49,155,160,49.2,boyesbr01
35,Dany Heatley,28,OTT,LW,82,39,33,72,-11,88,8.8,24,15,0,6,22,11,0,258,15.1,1649,20:07,24,87,14,16,46.7,heatlda01
36,Corey Perry,23,ANA,RW,78,32,40,72,10,109,8.5,22,10,0,8,26,14,0,283,11.3,1451,18:36,13,109,9,22,29.0,perryco01
37,Marián Hossa*,30,DET,RW,74,40,31,71,27,63,9.9,30,10,0,8,17,13,1,307,13.0,1317,17:48,9,69,4,15,21.1,hossama01
38,Patrick Marleau,29,SJS,LW,76,38,33,71,16,18,9.2,22,11,5,10,24,7,2,251,15.1,1623,21:21,23,98,310,281,52.5,marlepa01
39,Patrick Kane,20,CHI,RW,80,25,45,70,-2,42,6.9,12,13,0,4,23,22,0,254,9.8,1493,18:40,9,19,13,18,41.9,kanepa01
40,Derek Roy,25,BUF,C,82,28,42,70,-5,38,7.1,18,9,1,9,21,21,0,221,12.7,1738,21:12,44,41,745,724,50.7,royde01
41,Jamie Langenbrunner,33,NJD,RW,81,29,40,69,25,56,8.5,20,6,3,7,29,11,0,229,12.7,1466,18:06,28,88,10,15,40.0,langeja01
42,Jonathan Toews,20,CHI,C,82,34,35,69,12,51,8.2,22,12,0,7,25,10,0,195,17.4,1527,18:38,26,43,704,583,54.7,toewsjo01
43,Mikko Koivu,25,MIN,C,79,20,47,67,2,66,6.9,11,5,4,3,24,21,2,236,8.5,1697,21:29,36,45,857,768,52.7,koivumi01
44,Vincent Lecavalier,28,TBL,C,77,29,38,67,-9,54,6.7,18,10,1,6,23,14,1,291,10.0,1559,20:15,29,110,710,684,50.9,lecavvi01
45,Aleš Hemský,25,EDM,RW,72,23,43,66,1,32,6.7,19,4,0,2,16,27,0,185,12.4,1343,18:39,35,16,0,4,0.0,hemskal01
46,Anže Kopitar,21,LAK,C,82,27,39,66,-17,32,6.9,19,7,1,3,23,16,0,234,11.5,1677,20:27,56,85,671,684,49.5,kopitan01
47,Jason Pominville,26,BUF,RW,82,20,46,66,-4,18,6.1,13,6,1,2,28,18,0,239,8.4,1620,19:46,50,44,25,42,37.3,pominja01
48,J.P. Dumont,30,NSH,RW,82,16,49,65,1,20,6.2,11,5,0,4,32,17,0,176,9.1,1435,17:30,13,33,3,3,50.0,dumonjp01
49,Alex Kovalev,35,MTL,RW,78,26,39,65,-5,74,6.8,14,11,1,4,17,21,1,209,12.4,1515,19:26,20,56,16,34,32.0,kovalal01
50,Devin Setoguchi,22,SJS,RW,81,31,34,65,16,25,8.4,20,11,0,3,22,12,0,246,12.6,1313,16:13,30,146,6,15,28.6,setogde01
51,Andrei Markov,30,MTL,D,78,12,52,64,-2,36,9.7,5,7,0,3,19,32,1,165,7.3,1921,24:38,111,61,0,0,,markoan01
52,Thomas Vanek,25,BUF,LW,73,40,24,64,-1,44,8.7,18,20,2,5,18,6,0,211,19.0,1255,17:12,27,34,1,5,16.7,vanekth01
53,Jason Blake,35,TOR,LW,78,25,38,63,-2,40,6.2,19,5,1,5,24,13,1,302,8.3,1431,18:21,27,54,36,41,46.8,blakeja01
54,Loui Eriksson,23,DAL,LW,82,36,27,63,14,14,7.9,28,7,1,4,22,5,0,178,20.2,1626,19:50,51,31,2,9,18.2,erikslo01
55,Travis Zajac,23,NJD,C,82,20,42,62,33,29,7.0,14,5,1,2,29,10,3,185,10.8,1529,18:39,40,59,683,604,53.1,zajactr01
