,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
0,Sidney Crosby,C,80,36,68,104,13.5,25,11,0,5,41,27,0,259,13.9,1758,21:58,28.0,47,991.0,896.0,52.5,8700000,10488919.0
1,Ryan Getzlaf,C,77,31,56,87,11.2,26,5,0,7,38,18,0,204,15.2,1639,21:17,87.0,110,692.0,719.0,49.0,8250000,9911547.0
2,Claude Giroux,C,82,28,58,86,10.2,21,7,0,7,28,30,0,223,12.6,1676,20:26,46.0,90,931.0,829.0,52.9,3750000,4137830.0
3,Tyler Seguin,C,80,37,47,84,11.6,26,11,0,8,33,14,0,294,12.6,1548,19:21,24.0,47,280.0,395.0,41.5,5750000,6703926.0
4,Corey Perry,RW,81,43,39,82,12.3,35,8,0,9,29,10,0,280,15.4,1578,19:29,28.0,81,9.0,16.0,36.0,8625000,10392690.0
5,Taylor Hall,LW,75,27,53,80,9.0,20,7,0,1,42,10,1,250,10.8,1501,20:01,41.0,54,37.0,44.0,45.7,6000000,7024688.0
6,Phil Kessel,RW,82,37,43,80,10.3,29,8,0,6,31,12,0,305,12.1,1695,20:40,30.0,25,2.0,12.0,14.3,5400000,6254860.0
7,Nicklas Bäckström,C,82,18,61,79,7.2,11,6,1,1,23,38,0,196,9.2,1624,19:48,54.0,89,714.0,701.0,50.5,6700000,7922822.0
8,Jamie Benn,C,81,34,45,79,10.9,28,5,1,3,29,14,2,279,12.2,1551,19:09,59.0,116,402.0,359.0,52.8,5250000,6062402.0
9,Alex Ovechkin,LW,78,51,28,79,10.2,27,24,0,10,12,15,1,386,13.2,1603,20:33,22.0,204,2.0,1.0,66.7,9538462,11564706.0
10,Joe Pavelski,C,82,41,38,79,11.5,24,16,1,3,22,15,1,225,18.2,1628,19:51,68.0,47,675.0,531.0,56.0,4000000,4458592.0
11,Patrick Sharp,LW,82,34,44,78,10.0,24,10,0,3,29,15,0,313,10.9,1549,18:53,27.0,55,83.0,69.0,54.6,5900000,6896384.0
12,Joe Thornton,C,82,11,65,76,7.9,9,2,0,3,47,17,1,122,9.0,1552,18:56,34.0,54,617.0,482.0,56.1,7000000,8307737.0
13,Erik Karlsson,D,82,20,54,74,10.4,15,5,0,1,28,26,0,257,7.8,2220,27:04,101.0,122,0.0,0.0,,6500000,7666213.0
14,Evgeni Malkin,C,60,23,49,72,9.1,16,7,0,3,26,23,0,191,12.0,1204,20:04,18.0,27,303.0,318.0,48.8,8700000,10488919.0
15,Matt Duchene,C,71,23,47,70,8.1,18,5,0,6,35,12,0,217,10.6,1313,18:30,44.0,53,532.0,526.0,50.3,3500000,3817068.0
16,Patrick Marleau,LW,82,33,37,70,8.6,20,11,2,4,25,12,0,285,11.6,1683,20:31,29.0,85,163.0,145.0,52.9,6900000,8179432.0
17,Patrick Kane,RW,69,29,40,69,8.6,19,10,0,6,25,15,0,227,12.8,1353,19:37,15.0,16,4.0,4.0,50.0,6300000,7409603.0
18,Kyle Okposo,RW,71,27,42,69,7.9,22,5,0,4,32,10,0,195,13.8,1451,20:26,35.0,43,97.0,107.0,47.5,2800000,2918934.0
19,Blake Wheeler,RW,82,28,41,69,8.3,20,8,0,4,30,11,0,225,12.4,1532,18:41,68.0,150,15.0,25.0,37.5,5600000,6511469.0
20,Chris Kunitz,LW,78,35,33,68,10.1,22,13,0,8,24,9,0,218,16.1,1494,19:09,25.0,157,3.0,1.0,75.0,3725000,4105754.0
21,Jonathan Toews,C,76,28,40,68,8.7,20,5,3,5,28,10,2,193,14.5,1555,20:28,20.0,29,884.0,660.0,57.3,6300000,7409603.0
22,Thomas Vanek,LW,78,27,41,68,8.6,19,8,0,4,31,10,0,248,10.9,1509,19:21,17.0,30,20.0,26.0,43.5,7142857,8491029.0
23,Jaromír Jágr,RW,82,24,43,67,8.7,19,5,0,6,31,12,0,231,10.4,1571,19:10,9.0,4,0.0,2.0,0.0,2000000,1892496.0
24,Jason Spezza,C,75,23,43,66,6.4,14,9,0,5,30,13,0,223,10.3,1366,18:13,26.0,17,775.0,661.0,54.0,7000000,8307737.0
